"","activity","type","eventID","x","y","z","x_std","y_std","z_std","duration"
"1","At home",1,0.27071635,-0.101984657666667,-0.638916016666667,1,0.449883285533037,0.0817610571078773,0.932772284791684,141
"2","At home",2,0.281633522807018,-0.102355062538012,-0.660401730116959,2,0.445796626011712,0.0823749425785601,0.925898478390783,171
"3","At home",5,0.236142609199134,-0.101031643906926,-0.572214664393939,5,0.458649506718554,0.0794540705049828,0.947409630166996,462
"4","At home",9,0.237964831578947,-0.100873443052632,-0.57445887631579,9,0.470467982435987,0.0816144668000593,0.970995985342613,19
"5","At home",10,0.27071635,-0.101984657666667,-0.638916016666667,10,0.449246071321023,0.0816452508326637,0.931451107109482,234
"6","At home",11,0.276660592857143,-0.1007341636,-0.641757203571429,11,0.451035394285981,0.0821396463917475,0.929762621135834,70
"7","Cooking",2,0.27071635,-0.101984657666667,-0.638916016666667,2,0.45335064538531,0.0823912094518554,0.939961387555898,45
"8","Cooking",6,0.266592713,-0.09981170442,-0.618399965,6,0.456373809253006,0.0816250837721701,0.936616255479005,50
"9","Cooking",7,0.273429269078947,-0.103414232171053,-0.652413419078947,7,0.44890856524818,0.0824183229545493,0.936877333439249,76
"10","Eat",1,0.260515057377049,-0.101638541639344,-0.618839202459016,1,0.455310436867534,0.0815154439672266,0.942592835874467,61
"11","Eat",3,0.360683268918919,-0.083058260981982,-0.681917764414414,3,0.434221585657274,0.0809934433045777,0.830677617924227,111
"12","Eat",5,0.265093417567568,-0.103167557459459,-0.636228407432432,5,0.451731668096459,0.0819324524779476,0.941813472740986,74
"13","Eat",6,0.31232605,-0.0932311992,-0.658804325,6,0.467197192435359,0.0860446999058286,0.931584089458943,10
"14","Eat",8,0.284138833870968,-0.0991609613870968,-0.6453316,8,0.454471781907128,0.0829736772215411,0.930144837454977,31
"15","Eat",12,0.26703453125,-0.100044520839286,-0.620598113392857,12,0.455500204598467,0.0816110638536922,0.9358599950026,56
"16","Eat",20,0.242430947727273,-0.101024972318182,-0.583248486363636,20,0.467505029787533,0.0815948646785179,0.965437048237887,22
"17","Football",2,0.272557487168142,-0.101597336495575,-0.639796030309735,2,0.449138772464406,0.081678418376286,0.929552842756204,226
"18","In bus",1,0.27071635,-0.101984657666667,-0.638916016666667,1,0.45021323298152,0.0818210212208941,0.933456386302631,117
"19","In bus",3,0.273230762804878,-0.103309629158537,-0.651425804268293,3,0.448862976377374,0.0823493478168315,0.936336499389044,82
"20","In bus",4,0.278963624,-0.10633056416,-0.67994812,4,0.450177724337132,0.0843186373930903,0.95183207828291,25
"21","In bus",5,0.27071635,-0.101984657666667,-0.638916016666667,5,0.45335064538531,0.0823912094518554,0.939961387555898,45
"22","In bus",6,0.242430947727273,-0.101024972318182,-0.583248486363636,6,0.467505029787533,0.0815948646785179,0.965437048237887,22
"23","In bus",7,0.34850120625,-0.104623792375,-0.792001725,7,0.442880356216189,0.0919904171801445,0.932562089387446,8
"24","In computer",1,0.245825196,-0.10114013456,-0.58992859,1,0.465240565691422,0.0815799639160858,0.9611907547074,25
"25","In computer",2,0.27071635,-0.101984657666667,-0.638916016666667,2,0.449675150761068,0.0817232310327055,0.932340745427948,162
"26","In computer",3,0.27071635,-0.101984657666667,-0.638916016666667,3,0.46128157886572,0.0838325644122698,0.956405107918364,18
"27","In computer",4,0.271493813518519,-0.101258056751852,-0.635853351851852,4,0.44965720021206,0.0815242717306477,0.92915596513318,270
"28","In computer",5,0.277537612295082,-0.10054966447541,-0.642176395081967,5,0.451439754624887,0.082237896152587,0.929807454133112,61
"29","In computer",6,0.330158778571429,-0.089479717,-0.667327885714286,6,0.47507195400262,0.087932217179743,0.932493489397585,7
"30","In computer",9,0.248492105357143,-0.101230619178571,-0.595177242857143,9,0.463453582009091,0.0815682542645748,0.957841175253773,28
"31","In computer",14,0.27071635,-0.101984657666667,-0.638916016666667,14,0.450375034687726,0.0818504268000001,0.933791860306742,108
"32","In computer",15,0.272379106854839,-0.102860848491935,-0.647188618145161,15,0.448667332845854,0.0820527642162706,0.934012592857804,124
"33","In computer",16,0.281118775,-0.09979629305,-0.64388809375,16,0.453087147372122,0.0826378703647829,0.929990499774237,40
"34","In vehicle",2,0.3222618125,-0.12914657325,-0.8953666625,2,0.459986178157493,0.0979210838544592,1.06158428899582,4
"35","In vehicle",3,0.263663858474576,-0.103468294694915,-0.635545116949152,3,0.452607416908228,0.0820487059693941,0.944981145252519,59
"36","In vehicle",6,0.231823921875,-0.1006650903125,-0.5623731625,6,0.47451183412631,0.0816414120323898,0.978587964381897,16
"37","In vehicle",8,0.27071635,-0.101984657666667,-0.638916016666667,8,0.452494458322022,0.0822356074065526,0.938186199215024,54
"38","In vehicle",9,0.27071635,-0.101984657666667,-0.638916016666667,9,0.4910717405169,0.0892465799721705,1.01817098818387,6
"39","In vehicle",11,0.3222618125,-0.12914657325,-0.8953666625,11,0.459986178157493,0.0979210838544592,1.06158428899582,4
"40","Meeting",2,0.307320988235294,-0.103226603411765,-0.71095635,2,0.447720794390281,0.0862417739575066,0.93414401566005,17
"41","Meeting",3,0.274155168181818,-0.101261231347107,-0.640559678512397,3,0.449878235979005,0.0818583218312413,0.929634532590774,121
"42","Meeting",7,0.208488465,-0.0998733499,-0.51644745,7,0.489573939251584,0.0817437229116914,1.00691557037485,10
"43","Meeting",17,0.27071635,-0.101984657666667,-0.638916016666667,17,0.459355551335249,0.0834825312992958,0.952411749734274,21
"44","Movie",6,0.281568026315789,-0.107702955684211,-0.692905626315789,6,0.450773739227312,0.0851982379086504,0.958788896838433,19
"45","Movie",9,0.278963624,-0.10633056416,-0.67994812,9,0.450177724337132,0.0843186373930903,0.95183207828291,25
"46","On bus stop",7,0.330158778571429,-0.089479717,-0.667327885714286,7,0.47507195400262,0.087932217179743,0.932493489397585,7
"47","Pause",4,0.280393024418605,-0.0999489696511628,-0.643541204651163,4,0.452753774665811,0.0825569690308187,0.929953407056925,43
"48","Pause",5,0.181819371428571,-0.0989685037142857,-0.463960921428571,5,0.506239325687451,0.0818604930553119,1.03834409763711,7
"49","Pause",10,0.27071635,-0.101984657666667,-0.638916016666667,10,0.455235687384609,0.0827337939210091,0.943869767771738,33
"50","Phone was out of the pocket (forgot)",4,0.349550586764706,-0.143526410911765,-1.03113465147059,4,0.369003839126548,0.0836068201546082,0.890930747358402,68
"51","Picnic ",7,0.27071635,-0.101984657666667,-0.638916016666667,7,0.44900525325423,0.0816014849486115,0.93095180334425,312
"52","Running",0,0.4768982,-0.21063232,-1.6647186,0,NA,NA,NA,1
"53","Shop",5,0.27071635,-0.101984657666667,-0.638916016666667,5,0.475478168203761,0.0864126294845462,0.985839820206919,9
"54","Shop",12,0.288495745714286,-0.102587888457143,-0.673907035714286,12,0.448403997232303,0.0837520961976092,0.932382414187867,35
"55","Shopping& wearing",2,0.27071635,-0.101984657666667,-0.638916016666667,2,0.449918218427878,0.0817674057554085,0.932844713435252,138
"56","Sleep",7,0.273082429277567,-0.102064935528517,-0.643572616159696,7,0.448341373419242,0.0817705314488762,0.929914872584805,263
"57","Train",1,0.231823921875,-0.1006650903125,-0.5623731625,1,0.47451183412631,0.0816414120323898,0.978587964381897,16
"58","Train",3,0.27071635,-0.101984657666667,-0.638916016666667,3,0.475478168203761,0.0864126294845462,0.985839820206919,9
"59","Train",8,0.265865012352941,-0.0994282420823529,-0.614779485294118,8,0.455083168918392,0.081159374106305,0.932257061250278,85
"60","Train",9,0.291334535,-0.1128494239,-0.741496275,9,0.453001811040004,0.0884188412254838,0.984439211758027,10
"61","Train",14,0.218704225,-0.11292648075,-0.61405563125,14,0.480157281511874,0.0854542892207843,1.05088686477553,8
"62","Train",18,0.278718215384615,-0.100301300269231,-0.642740691346154,18,0.451983514588225,0.082369970385072,0.929867802831367,52
"63","Train",19,0.275511276744186,-0.104511347488372,-0.662771890697674,19,0.449386439654461,0.0831383123065247,0.942531105512233,43
"64","Video games",0,0.254712619230769,-0.105351372461538,-0.631266667307692,0,0.458087847677749,0.0827657932560009,0.965070936657248,26
"65","Video games",7,0.2642731671875,-0.09858941821875,-0.6068596859375,7,0.460988614077139,0.0816884288506012,0.94054428349354,32
"66","Video games",8,0.27948084084507,-0.102282024957746,-0.65616511056338,8,0.4484322266936,0.0825871904471243,0.931046645835918,71
"67","Walk",0,0.277890436206897,-0.100475440689655,-0.642345035344828,0,0.451602326197522,0.0822773888250113,0.929825489786632,58
"68","Walk",2,0.24494361875,-0.088403699875,-0.51069069375,2,0.50154206244757,0.0814662826210569,0.970363437170017,8
"69","Walk",3,-0.3515625,-0.08087158,0.58576965,3,NA,NA,NA,1
"70","Walk",4,0.2499115,-0.1063613869,-0.6289718625,4,0.461026138188713,0.0831426301301925,0.976034690274352,20
"71","Walk",5,0.27071635,-0.101984657666667,-0.638916016666667,5,0.4910717405169,0.0892465799721705,1.01817098818387,6
"72","Walk",6,0.201677958333333,-0.0911712626666667,-0.451375329166667,6,0.495345514027958,0.0779789095893817,0.971982395105391,12
"73","Walk",7,0.266051568888889,-0.106344263155556,-0.657292005555556,7,0.45003976014171,0.0828432851278719,0.951944505637821,45
"74","Walk",8,0.27071635,-0.101984657666667,-0.638916016666667,8,0.475478168203761,0.0864126294845462,0.985839820206919,9
"75","Walk",9,0.297771952173913,-0.102902617565217,-0.692163219565217,9,0.448176202692737,0.0849689509407537,0.933429092483185,23
"76","Walk",10,0.267217764166667,-0.105254361783333,-0.652698008333333,10,0.449598927716115,0.0825184268022881,0.946312449928087,60
"77","Walk",11,0.27071635,-0.101984657666667,-0.638916016666667,11,0.549034896812464,0.0997807097885723,1.13834977114863,3
"78","Walk",13,0.218704225,-0.11292648075,-0.61405563125,13,0.480157281511874,0.0854542892207843,1.05088686477553,8
"79","Walk",18,0.231823921875,-0.1006650903125,-0.5623731625,18,0.47451183412631,0.0816414120323898,0.978587964381897,16
"80","Walking&party",0,0.27071635,-0.101984657666667,-0.638916016666667,0,0.449535565114135,0.0816978629641034,0.932051333424878,180
"81","Walking&party",2,0.269619638031915,-0.101406744569149,-0.633459619946809,2,0.450422362574706,0.0815167986475792,0.931383874230187,188
"82","Watching TV",1,0.275444725,-0.100989946477273,-0.641176051704546,1,0.450474203402322,0.0820032417739348,0.929700462722379,88
"83","Work",10,0.27071635,-0.101984657666667,-0.638916016666667,10,0.453719073439115,0.0824581669675401,0.940725273409365,42
"84","Work",16,0.26984269809322,-0.101524286216102,-0.634569395550847,16,0.449986861011911,0.0815076995303518,0.930993571561261,236
